Entity,Code,Year,Annual CO₂ emissions
Italy,ITA,1860,29312
Italy,ITA,1861,670512
Italy,ITA,1862,1227440
Italy,ITA,1863,1069888
Italy,ITA,1864,1604832
Italy,ITA,1865,1271408
Italy,ITA,1866,1476592
Italy,ITA,1867,1469264
Italy,ITA,1868,1696432
Italy,ITA,1869,1872304
Italy,ITA,1870,2678384
Italy,ITA,1871,2308320
Italy,ITA,1872,2975168
Italy,ITA,1873,2769984
Italy,ITA,1874,2997152
Italy,ITA,1875,3066768
Italy,ITA,1876,4107344.2
Italy,ITA,1877,3803232
Italy,ITA,1878,3784912
Italy,ITA,1879,4356496
Italy,ITA,1880,5067312
Italy,ITA,1881,5957664
Italy,ITA,1882,6272768
Italy,ITA,1883,6646496
Italy,ITA,1884,7360976
Italy,ITA,1885,8375904
Italy,ITA,1886,8328272
Italy,ITA,1887,10149280
Italy,ITA,1888,10896736
Italy,ITA,1889,11255808
Italy,ITA,1890,12208448
Italy,ITA,1891,10999328
Italy,ITA,1892,10889408
Italy,ITA,1893,10523008
Italy,ITA,1894,13062160
Italy,ITA,1895,12021584
Italy,ITA,1896,11424352
Italy,ITA,1897,11918992
Italy,ITA,1898,12402640
Italy,ITA,1899,13589776
Italy,ITA,1900,13908544
Italy,ITA,1901,13520160
Italy,ITA,1902,15015072
Italy,ITA,1903,15315520
Italy,ITA,1904,16187551
Italy,ITA,1905,17843680
Italy,ITA,1906,21089984
Italy,ITA,1907,22808400
Italy,ITA,1908,23262736
Italy,ITA,1909,25702960
Italy,ITA,1910,25735936
Italy,ITA,1911,26538352
Italy,ITA,1912,27850064
Italy,ITA,1913,29964192
Italy,ITA,1914,27238176
Italy,ITA,1915,23779360
Italy,ITA,1916,23511888
Italy,ITA,1917,16121599
Italy,ITA,1918,18979520
Italy,ITA,1919,18609456
Italy,ITA,1920,17869328
Italy,ITA,1921,21881408
Italy,ITA,1922,25699296
Italy,ITA,1923,26824144
Italy,ITA,1924,32180912
Italy,ITA,1925,30968128
Italy,ITA,1926,35841250
Italy,ITA,1927,40384610
Italy,ITA,1928,38148140
Italy,ITA,1929,44027132
Italy,ITA,1930,39549784
Italy,ITA,1931,34172700
Italy,ITA,1932,28064604
Italy,ITA,1933,30473790
Italy,ITA,1934,39660990
Italy,ITA,1935,45376240
Italy,ITA,1936,31989586
Italy,ITA,1937,45174150
Italy,ITA,1938,44978956
Italy,ITA,1939,46120100
Italy,ITA,1940,49030564
Italy,ITA,1941,42894144
Italy,ITA,1942,41888780
Italy,ITA,1943,7112232
Italy,ITA,1944,3577930
Italy,ITA,1945,4351886
Italy,ITA,1946,22166356
Italy,ITA,1947,36786412
Italy,ITA,1948,35528084
Italy,ITA,1949,39771060
Italy,ITA,1950,41430596
Italy,ITA,1951,48822230
Italy,ITA,1952,50620580
Italy,ITA,1953,55994576
Italy,ITA,1954,64938324
Italy,ITA,1955,73266220
Italy,ITA,1956,83475060
Italy,ITA,1957,87077970
Italy,ITA,1958,87598380
Italy,ITA,1959,94084600
Italy,ITA,1960,109203090
Italy,ITA,1961,124374900
Italy,ITA,1962,146254990
Italy,ITA,1963,164556240
Italy,ITA,1964,175721070
Italy,ITA,1965,189528380
Italy,ITA,1966,213982260
Italy,ITA,1967,234129740
Italy,ITA,1968,249172160
Italy,ITA,1969,269661000
Italy,ITA,1970,296364540
Italy,ITA,1971,311049180
Italy,ITA,1972,328237470
Italy,ITA,1973,353349120
Italy,ITA,1974,358252930
Italy,ITA,1975,341052450
Italy,ITA,1976,365795460
Italy,ITA,1977,354417630
Italy,ITA,1978,371273820
Italy,ITA,1979,385255520
Italy,ITA,1980,386433020
Italy,ITA,1981,375300130
Italy,ITA,1982,366879040
Italy,ITA,1983,358409100
Italy,ITA,1984,364601060
Italy,ITA,1985,368982400
Italy,ITA,1986,363187620
Italy,ITA,1987,380098560
Italy,ITA,1988,385962240
Italy,ITA,1989,404741950
Italy,ITA,1990,438207000
Italy,ITA,1991,437741220
Italy,ITA,1992,437935970
Italy,ITA,1993,430267170
Italy,ITA,1994,424506020
Italy,ITA,1995,448594850
Italy,ITA,1996,442842080
Italy,ITA,1997,448569820
Italy,ITA,1998,460823140
Italy,ITA,1999,465506270
Italy,ITA,2000,469596930
Italy,ITA,2001,469677730
Italy,ITA,2002,477105500
Italy,ITA,2003,495092300
Italy,ITA,2004,500685630
Italy,ITA,2005,501364060
Italy,ITA,2006,495936900
Italy,ITA,2007,489653150
Italy,ITA,2008,478126140
Italy,ITA,2009,424061120
Italy,ITA,2010,435710340
Italy,ITA,2011,423894300
Italy,ITA,2012,403441340
Italy,ITA,2013,369474700
Italy,ITA,2014,349400320
Italy,ITA,2015,361254340
Italy,ITA,2016,358144350
Italy,ITA,2017,352678620
Italy,ITA,2018,349062140
Italy,ITA,2019,339633540
Italy,ITA,2020,302602430
Italy,ITA,2021,335977820
Italy,ITA,2022,340672300
Italy,ITA,2023,313460640
