Entity,Code,Year,Annual precipitation
Italy,ITA,1931,980.4897
Italy,ITA,1932,876.2479
Italy,ITA,1933,986.2547
Italy,ITA,1934,874.7829
Italy,ITA,1935,987.7974
Italy,ITA,1936,794.8749
Italy,ITA,1937,887.6359
Italy,ITA,1938,996.1357
Italy,ITA,1939,883.4568
Italy,ITA,1940,838.1479
Italy,ITA,1941,926.7101
Italy,ITA,1942,777.7259
Italy,ITA,1943,815.15967
Italy,ITA,1944,941.21185
Italy,ITA,1945,738.3383
Italy,ITA,1946,917.37476
Italy,ITA,1947,947.00287
Italy,ITA,1948,945.48663
Italy,ITA,1949,813.35016
Italy,ITA,1950,800.64136
Italy,ITA,1951,1177.9386
Italy,ITA,1952,848.2325
Italy,ITA,1953,939.2859
Italy,ITA,1954,982.8973
Italy,ITA,1955,960.13354
Italy,ITA,1956,897.275
Italy,ITA,1957,1028.2361
Italy,ITA,1958,1010.50977
Italy,ITA,1959,1069.2363
Italy,ITA,1960,1236.1355
Italy,ITA,1961,867.8975
Italy,ITA,1962,956.8307
Italy,ITA,1963,1189.4259
Italy,ITA,1964,1047.0962
Italy,ITA,1965,1064.737
Italy,ITA,1966,1204.2682
Italy,ITA,1967,941.2951
Italy,ITA,1968,1136.1655
Italy,ITA,1969,1102.5903
Italy,ITA,1970,950.1192
Italy,ITA,1971,1050.3663
Italy,ITA,1972,1360.4718
Italy,ITA,1973,1025.9932
Italy,ITA,1974,1005.5707
Italy,ITA,1975,1041.9215
Italy,ITA,1976,1233.7593
Italy,ITA,1977,1062.1488
Italy,ITA,1978,1123.7125
Italy,ITA,1979,1212.8047
Italy,ITA,1980,1044.5752
Italy,ITA,1981,996.1216
Italy,ITA,1982,986.2362
Italy,ITA,1983,876.9039
Italy,ITA,1984,1098.557
Italy,ITA,1985,925.50305
Italy,ITA,1986,966.33563
Italy,ITA,1987,981.21594
Italy,ITA,1988,869.2384
Italy,ITA,1989,821.5045
Italy,ITA,1990,891.4965
Italy,ITA,1991,914.02106
Italy,ITA,1992,942.3315
Italy,ITA,1993,906.19775
Italy,ITA,1994,864.9073
Italy,ITA,1995,925.8236
Italy,ITA,1996,1173.6421
Italy,ITA,1997,887.5693
Italy,ITA,1998,879.793
Italy,ITA,1999,990.53424
Italy,ITA,2000,1009.0866
Italy,ITA,2001,842.95374
Italy,ITA,2002,1140.3444
Italy,ITA,2003,868.064
Italy,ITA,2004,1054.0092
Italy,ITA,2005,979.4761
Italy,ITA,2006,831.39636
Italy,ITA,2007,846.328
Italy,ITA,2008,1133.4637
Italy,ITA,2009,1122.5974
Italy,ITA,2010,1322.8486
Italy,ITA,2011,878.0085
Italy,ITA,2012,1010.26935
Italy,ITA,2013,1195.0719
Italy,ITA,2014,1240.2909
Italy,ITA,2015,954.5828
Italy,ITA,2016,1075.6913
Italy,ITA,2017,850.35156
Italy,ITA,2018,1212.4795
Italy,ITA,2019,1170.8456
Italy,ITA,2020,981.3541
Italy,ITA,2021,990.3465
Italy,ITA,2022,818.1664
Italy,ITA,2023,1025.3726
Italy,ITA,2024,1148.2227
