total_prod,agri,industry,minifactural,transports,public_lights,services,total_cons,population,gdp,gdp_pp
10470,103,6213,6129,803,209,1007,8335,40501.139,18665.701376,4608.68554239919
10590,103,6223,6143,845,225,1024,8420,40843.255,19066.5457664,4668.223863744454
11650,114,6984,6879,860,243,1092,9293,41185.511,18847.3049088,4576.1979033840325
12600,110,7684,7573,879,258,1228,10159,41530.635,18798.7345408,4526.474141510237
13800,138,8583,8458,1003,267,1177,11168,41878.651,19814.342656,4731.370801795884
13648,134,8829,8689,1172,272,1181,11588,42229.584,19113.525248,4526.098397748839
15430,138,10079,9924,1367,293,1283,13160,42583.457,21012.8764928,4934.516352864447
15544,143,10028,9829,1480,308,1380,13339,42940.295,21627.0045184,5036.529096597962
18417,145,12019,11765,1777,312,1553,15806,43279.914,23011.5786752,5316.91876171473
19430,155,12759,12465,1996,174,1590,16674,43602.046,22609.4759936,5185.416297574659
20761,176,13589,13251,2145,45,1722,17677,43906.421,22219.3778688,5060.62151337728
20233,185,12909,12543,2190,34,1932,17250,44192.767,20976.3647488,4746.560619026186
18247,185,11277,10977,1725,28,2064,15279,44460.808,17759.0779904,3994.321918396085
13545,163,7464,7289,783,24,2257,10691,44730.474,14320.697344,3201.552781220248
12648,197,5629,5472,628,85,2977,9516,45001.776,12864.6299648,2858.6938357277277
17485,199,9365,9102,1051,174,3249,14038,45274.723,17398.3629312,3842.842490985533
20574,249,11595,11268,1374,221,3432,16871,45549.326,20708.7927296,4546.454261386875
22694,226,12985,12651,1587,264,3596,18658,45825.595,22327.8137344,4872.345625714189
20782,246,11376,11004,1782,285,3444,17133,46106.45,24245.0808832,5258.500900242808
24681,283,13902,13457,1933,319,3781,20218,46391.944,26294.0114944,5667.796868870164
29223,259,17309,16799,2097,354,4180,24199,46750.764,28251.6455424,6043.03397959443
30843,328,17957,17394,2212,381,4713,25591,47016.488,30368.0094208,6459.012723536475
32619,309,18993,18390,2281,419,5224,27226,47412.148,32562.8035072,6868.029583304262
35574,326,20401,19790,2397,465,5772,29361,47833.768,34253.651968,7160.977150702408
38124,362,22129,21467,2527,514,6292,31824,48130.728,36246.175744,7530.776543417336
40592,382,23487,22799,2668,564,7175,34276,48403.44,37889.3139968,7827.814303446201
