Entity,Code,Year,Population density
Italy,ITA,1400,27.06679
Italy,ITA,1500,30.448635
Italy,ITA,1600,44.8985
Italy,ITA,1700,45.602116
Italy,ITA,1710,47.00498
Italy,ITA,1720,48.625977
Italy,ITA,1730,50.30289
Italy,ITA,1740,52.037636
Italy,ITA,1750,53.83222
Italy,ITA,1760,55.688694
Italy,ITA,1770,57.6092
Italy,ITA,1780,59.59595
Italy,ITA,1790,61.651222
Italy,ITA,1800,64.25062
Italy,ITA,1801,64.44384
Italy,ITA,1802,64.637634
Italy,ITA,1803,64.832016
Italy,ITA,1804,65.026985
Italy,ITA,1805,65.222534
Italy,ITA,1806,65.41868
Italy,ITA,1807,65.6154
Italy,ITA,1808,65.81273
Italy,ITA,1809,66.01064
Italy,ITA,1810,66.209755
Italy,ITA,1811,66.40886
Italy,ITA,1812,66.60857
Italy,ITA,1813,66.808876
Italy,ITA,1814,67.00979
Italy,ITA,1815,67.2113
Italy,ITA,1816,67.41343
Italy,ITA,1817,67.61616
Italy,ITA,1818,67.819496
Italy,ITA,1819,68.070244
Italy,ITA,1820,68.36885
Italy,ITA,1821,68.71576
Italy,ITA,1822,69.11143
Italy,ITA,1823,69.55629
Italy,ITA,1824,70.00403
Italy,ITA,1825,70.45464
Italy,ITA,1826,70.90816
Italy,ITA,1827,71.36459
Italy,ITA,1828,71.82397
Italy,ITA,1829,72.28632
Italy,ITA,1830,72.75168
Italy,ITA,1831,73.220055
Italy,ITA,1832,73.691475
Italy,ITA,1833,74.16596
Italy,ITA,1834,74.64349
Italy,ITA,1835,75.12411
Italy,ITA,1836,75.60781
Italy,ITA,1837,76.094635
Italy,ITA,1838,76.58459
Italy,ITA,1839,77.07773
Italy,ITA,1840,77.57407
Italy,ITA,1841,78.07365
Italy,ITA,1842,78.57646
Italy,ITA,1843,79.08255
Italy,ITA,1844,79.5919
Italy,ITA,1845,80.10453
Italy,ITA,1846,80.62046
Italy,ITA,1847,81.13972
Italy,ITA,1848,81.662315
Italy,ITA,1849,82.18822
Italy,ITA,1850,82.71746
Italy,ITA,1851,83.23097
Italy,ITA,1852,83.74761
Italy,ITA,1853,84.267395
Italy,ITA,1854,84.790405
Italy,ITA,1855,85.31666
Italy,ITA,1856,85.84617
Italy,ITA,1857,86.37897
Italy,ITA,1858,86.91506
Italy,ITA,1859,87.45948
Italy,ITA,1860,88.0123
Italy,ITA,1861,88.573616
Italy,ITA,1862,89.14349
Italy,ITA,1863,89.72204
Italy,ITA,1864,90.30433
Italy,ITA,1865,90.890396
Italy,ITA,1866,91.480255
Italy,ITA,1867,92.073944
Italy,ITA,1868,92.67148
Italy,ITA,1869,93.25467
Italy,ITA,1870,93.82331
Italy,ITA,1871,94.37723
Italy,ITA,1872,94.916214
Italy,ITA,1873,95.44009
Italy,ITA,1874,95.96684
Italy,ITA,1875,96.496506
Italy,ITA,1876,97.02908
Italy,ITA,1877,97.56459
Italy,ITA,1878,98.10306
Italy,ITA,1879,98.671425
Italy,ITA,1880,99.27005
Italy,ITA,1881,99.89928
Italy,ITA,1882,100.55945
Italy,ITA,1883,101.25093
Italy,ITA,1884,101.94716
Italy,ITA,1885,102.64817
Italy,ITA,1886,103.354
Italy,ITA,1887,104.06467
Italy,ITA,1888,104.78022
Italy,ITA,1889,105.47813
Italy,ITA,1890,106.15813
Italy,ITA,1891,106.81998
Italy,ITA,1892,107.46343
Italy,ITA,1893,108.08823
Italy,ITA,1894,108.716644
Italy,ITA,1895,109.34872
Italy,ITA,1896,109.98445
Italy,ITA,1897,110.62388
Italy,ITA,1898,111.26702
Italy,ITA,1899,111.96453
Italy,ITA,1900,112.717125
Italy,ITA,1901,113.525536
Italy,ITA,1902,114.39047
Italy,ITA,1903,115.312675
Italy,ITA,1904,116.24231
Italy,ITA,1905,117.17943
Italy,ITA,1906,118.1241
Italy,ITA,1907,119.076385
Italy,ITA,1908,120.03633
Italy,ITA,1909,120.856155
Italy,ITA,1910,121.534454
Italy,ITA,1911,122.06983
Italy,ITA,1912,122.46087
Italy,ITA,1913,122.70614
Italy,ITA,1914,122.9519
Italy,ITA,1915,123.198135
Italy,ITA,1916,123.44486
Italy,ITA,1917,123.69208
Italy,ITA,1918,123.96864
Italy,ITA,1919,124.407364
Italy,ITA,1920,125.01002
Italy,ITA,1921,125.77839
Italy,ITA,1922,126.71428
Italy,ITA,1923,127.81951
Italy,ITA,1924,128.93439
Italy,ITA,1925,130.05898
Italy,ITA,1926,131.19339
Italy,ITA,1927,132.33769
Italy,ITA,1928,133.49197
Italy,ITA,1929,134.64702
Italy,ITA,1930,135.80276
Italy,ITA,1931,136.95912
Italy,ITA,1932,138.11601
Italy,ITA,1933,139.27339
Italy,ITA,1934,140.44048
Italy,ITA,1935,141.61732
Italy,ITA,1936,142.80405
Italy,ITA,1937,144.0007
Italy,ITA,1938,145.2074
Italy,ITA,1939,146.35585
Italy,ITA,1940,147.44518
Italy,ITA,1941,148.47446
Italy,ITA,1942,149.44276
Italy,ITA,1943,150.34918
Italy,ITA,1944,151.26108
Italy,ITA,1945,152.17853
Italy,ITA,1946,153.10152
Italy,ITA,1947,154.03012
Italy,ITA,1948,154.96436
Italy,ITA,1949,155.9141
Italy,ITA,1950,156.87846
Italy,ITA,1951,158.09657
Italy,ITA,1952,158.99704
Italy,ITA,1953,160.32506
Italy,ITA,1954,161.74985
Italy,ITA,1955,162.75957
Italy,ITA,1956,163.67639
Italy,ITA,1957,164.53896
Italy,ITA,1958,165.45227
Italy,ITA,1959,166.44089
Italy,ITA,1960,167.43881
Italy,ITA,1961,168.45564
Italy,ITA,1962,169.65726
Italy,ITA,1963,171.01123
Italy,ITA,1964,172.52821
Italy,ITA,1965,174.08763
Italy,ITA,1966,175.56998
Italy,ITA,1967,176.98773
Italy,ITA,1968,178.25186
Italy,ITA,1969,179.42862
Italy,ITA,1970,180.54485
Italy,ITA,1971,181.61874
Italy,ITA,1972,182.8353
Italy,ITA,1973,184.1305
Italy,ITA,1974,185.38354
Italy,ITA,1975,186.54997
Italy,ITA,1976,187.54204
Italy,ITA,1977,188.40477
Italy,ITA,1978,189.16373
Italy,ITA,1979,189.8177
Italy,ITA,1980,190.76361
Italy,ITA,1981,191.55716
Italy,ITA,1982,191.80206
Italy,ITA,1983,191.96075
Italy,ITA,1984,192.11038
Italy,ITA,1985,192.26302
Italy,ITA,1986,192.33229
Italy,ITA,1987,192.38622
Italy,ITA,1988,192.51074
