total_prod,agri,industry,minifactural,transports,public_lights,services,total_cons,population,gdp
10470,103,6213,6129,803,209,1007,8335,40501139.0,186657013760.0
10590,103,6223,6143,845,225,1024,8420,40843255.0,190665457664.0
11650,114,6984,6879,860,243,1092,9293,41185511.0,188473049088.0
12600,110,7684,7573,879,258,1228,10159,41530635.0,187987345408.0
13800,138,8583,8458,1003,267,1177,11168,41878651.0,198143426560.0
13648,134,8829,8689,1172,272,1181,11588,42229584.0,191135252480.0
15430,138,10079,9924,1367,293,1283,13160,42583457.0,210128764928.0
15544,143,10028,9829,1480,308,1380,13339,42940295.0,216270045184.0
18417,145,12019,11765,1777,312,1553,15806,43279914.0,230115786752.0
19430,155,12759,12465,1996,174,1590,16674,43602046.0,226094759936.0
20761,176,13589,13251,2145,45,1722,17677,43906421.0,222193778688.0
20233,185,12909,12543,2190,34,1932,17250,44192767.0,209763647488.0
18247,185,11277,10977,1725,28,2064,15279,44460808.0,177590779904.0
13545,163,7464,7289,783,24,2257,10691,44730474.0,143206973440.0
12648,197,5629,5472,628,85,2977,9516,45001776.0,128646299648.0
17485,199,9365,9102,1051,174,3249,14038,45274723.0,173983629312.0
20574,249,11595,11268,1374,221,3432,16871,45549326.0,207087927296.0
22694,226,12985,12651,1587,264,3596,18658,45825595.0,223278137344.0
20782,246,11376,11004,1782,285,3444,17133,46106450.0,242450808832.0
24681,283,13902,13457,1933,319,3781,20218,46391944.0,262940114944.0
29223,259,17309,16799,2097,354,4180,24199,46750764.0,282516455424.0
30843,328,17957,17394,2212,381,4713,25591,47016488.0,303680094208.0
32619,309,18993,18390,2281,419,5224,27226,47412148.0,325628035072.0
35574,326,20401,19790,2397,465,5772,29361,47833768.0,342536519680.0
38124,362,22129,21467,2527,514,6292,31824,48130728.0,362461757440.0
40592,382,23487,22799,2668,564,7175,34276,48403440.0,378893139968.0
42726,407,24799,24084,2741,609,7762,36318,48660256.0,401226760192.0
45492,483,25896,25184,2769,655,8581,38384,48930472.0,422722928640.0
49350,429,28545,27815,2964,706,9446,42090,49224672.0,449036156928.0
56240,491,32582,31789,3197,768,10546,47584,49517708.0,473363382272.0
60565,612,34790,33968,3279,865,4047,51275,49812724.0,513214676992.0
64859,656,38412,37574,3467,991,4632,56951,50162244.0,553275686912.0
71344,578,43202,42110,3533,896,4961,62599,50555128.0,592671539200.0
76739,691,45477,44362,3357,1001,5630,66893,50997780.0,615796768768.0
82968,741,48466,47322,3346,1060,6552,72319,51452860.0,629615755264.0
89993,804,53337,51493,3323,1145,6756,78674,51882568.0,662465740800.0
96829,879,57995,56032,3715,1434,7334,85411,52294440.0,709741838336.0
104011,890,61810,59890,3833,1522,8220,92138,52661072.0,768994508800.0
110447,966,65097,62971,3992,1612,9018,98271,53001508.0,812977618944.0
117423,1107,69416,67039,4174,1716,9829,105637,53324036.0,831317737472.0
124860,1158,70661,68256,4249,1812,10654,109933,53636100.0,846968258560.0
135261,1161,74775,72467,4330,1940,11425,117279,53995428.0,871751811072.0
145518,1309,79921,77522,4318,2024,12507,125829,54379588.0,928806535168.0
148905,1421,82980,80595,4526,1787,12916,130962,54750684.0,972368707584.0
147333,1646,81281,76678,4679,1979,11357,128639,55093992.0,951557554176.0
163550,1838,90027,85114,4814,2223,12266,141122,55388904.0,1013301903360.0
166545,2091,92352,87373,4929,2234,12913,146185,55649672.0,1042645975040.0
175041,2249,94325,89157,5021,2321,13843,151955,55877016.0,1081497944064.0
181264,2513,98773,93447,5107,2455,14777,160012,56070680.0,1142855303168.0
185741,2600,100040,94518,5054,2549,15566,163645,56329480.0,1183161647104.0
181656,2791,97012,91181,4847,2661,16634,162798,56532908.0,1188868915200.0
184444,2948,94949,88856,4953,2842,18185,164952,56585840.0,1194202234880.0
182880,3062,93374,87234,5017,3018,18799,164302,56607516.0,1208770101248.0
182669,3083,98581,92390,5274,3177,19927,173441,56620236.0,1239849238528.0
185740,3280,99818,93265,5276,3295,21339,177509,56636468.0,1274693681152.0
192330,3240,102346,95663,5406,3504,22844,183030,56639056.0,1310891966464.0
201372,3509,106536,99475,5577,3617,25249,192622,56644528.0,1351528480768.0
